DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Baghpat,Tehsils,Uttar Pradesh,1321,1303048,72.01
Bahraich,Tehsils,Uttar Pradesh,5237,3487731,49.36
Baksa,Circles,Assam,2457,950075,69.25
Balaghat,Tehsils,Madhya Pradesh,9229,1701698,77.09
Balangir,Blocks,Odisha,6575,1648997,64.72
Baleshwar,Blocks,Odisha,3806,2320529,79.79
Ballia,Tehsils,Uttar Pradesh,2981,3239774,70.94
Balrampur,Tehsils,Uttar Pradesh,3349,2148665,49.51
Banaskantha,Talukas,Gujarat,10743,3120506,65.32
Banda,Tehsils,Uttar Pradesh,4408,1799410,66.67
Bandipora,Tehsils,Jammu and Kashmir,345,392232,56.28
Bangalore,Talukas,Karnataka,2196,9621551,87.67
Bangalore Rural,Talukas,Karnataka,2298,990923,77.93
Banka,Blocks,Bihar,3020,2034763,58.17
Bankura,Blocks,West Bengal,6882,3596674,70.26
Banswara,Tehsils,Rajasthan,4522,1797485,56.33
Barabanki,Tehsils,Uttar Pradesh,4402,3260699,61.75
Baramula,Tehsils,Jammu and Kashmir,4243,1008039,64.63
Baran,Tehsils,Rajasthan,6992,1222755,66.66
Barddhaman,Blocks,West Bengal,7024,7717563,76.21
Bareilly,Tehsils,Uttar Pradesh,4120,4448359,58.49
Bargarh,Blocks,Odisha,5837,1481255,74.62
Barmer,Tehsils,Rajasthan,28387,2603751,56.53
Barnala,Tehsils,Punjab,1482,595527,67.82
Barpeta,Circles,Assam,2282,1693622,63.81
Barwani,Tehsils,Madhya Pradesh,5427,1385881,49.08
Bastar,Tehsils,Chhattisgarh,10470,1413199,54.4
